Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           18          934           1           5     934721 .TAU application
 97.9        0.357          915           1           6     915347 main 
 80.7          737          754           1       30702     754726 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
 12.5           77          116           1       72689     116614 MeshGmshReader(char const*) 
  4.6           37           43           1           1      43146 MeshReorderingMETIS(mesh_t*) 
  2.1           19           19       36344           0          1 getGmshElemTypeDim(int) 
  2.1           19           19       36344           0          1 getGmshElemNNodes(int) 
  1.8           17           17       30702           0          1 GmshToVTKType(int) 
  0.6            5            5           1           0       5866 MeshToGraph(mesh_t*, int**, int**) 
  0.0        0.428        0.428           1           0        428 MeshPartitionerInternal(mesh_t*, int) 
  0.0        0.105        0.315           1           1        315 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.0        0.213        0.213           4           0         53 __static_initialization_and_destruction_0(int, int) 
  0.0        0.079         0.08           1           1         80 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.0        0.076        0.077           1           1         77 _GLOBAL__sub_I_main 
  0.0        0.073        0.074           1           1         74 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.074        0.074           1           0         74 mesh_t::~mesh_t() 
  0.0        0.007        0.007           1           0          7 mesh_t::mesh_t() 
  0.0        0.002        0.002           1           0          2 MeshPartitionDestroy(mesh_partition_t*) 
