Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           18          107           1           5     107424 .TAU application
 82.2        0.271           88           1           6      88290 main 
 37.8            3           40           1        5554      40640 MeshReorderingRCM(mesh_t*) 
 35.0           36           37           1        1812      37649 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
 32.7           14           35        5551       16650          6 adj_set(int, int, int*, int*, int*, int, int) 
 13.4           14           14        5550           0          3 adj_insert_ij(int, int, int*, int*, int*, int, int) 
  8.5            6            9           1        3967       9104 MeshGmshReader(char const*) 
  5.8            6            6       11100           0          1 adj_contains_ij(int, int, int*, int*, int, int) 
  1.1            1            1           1           0       1219 MeshToGraph(mesh_t*, int**, int**) 
  1.0            1            1        1983           0          1 getGmshElemNNodes(int) 
  1.0            1            1        1983           0          1 getGmshElemTypeDim(int) 
  0.9            1            1        1812           0          1 GmshToVTKType(int) 
  0.8        0.179        0.832           1         228        832 genrcm(int, int, int*, int*, int*) 
  0.6        0.621        0.621           1           0        621 MeshPartitionerInternal(mesh_t*, int) 
  0.3         0.24        0.357         114         115          3 rcm(int, int, int*, int*, int*, int*, int*, int) 
  0.3        0.096        0.299           1           1        299 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.3        0.143        0.296         114         115          3 root_find(int*, int, int*, int*, int*, int*, int*, int*, int) 
  0.2        0.206        0.206           4           0         52 __static_initialization_and_destruction_0(int, int) 
  0.1        0.153        0.153         115           0          1 level_set(int, int, int*, int*, int*, int*, int*, int*, int) 
  0.1        0.114        0.114         114           0          1 degree(int, int, int*, int*, int*, int*, int*, int*, int) 
  0.1        0.079         0.08           1           1         80 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.1        0.075        0.076           1           1         76 _GLOBAL__sub_I_main 
  0.1        0.072        0.073           1           1         73 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.009        0.009           1           0          9 mesh_t::mesh_t() 
  0.0        0.004        0.004           1           0          4 mesh_t::~mesh_t() 
  0.0        0.003        0.003           1           0          3 i4vec_reverse(int, int*) 
  0.0        0.003        0.003           1           0          3 perm_inverse3(int, int*, int*) 
  0.0        0.001        0.001           1           0          1 MeshPartitionDestroy(mesh_partition_t*) 
