Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           19        4,492           1           5    4492135 .TAU application
 99.6        0.379        4,471           1           6    4471963 main 
 82.9        3,664        3,722           1      100001    3722576 MeshVTKWriterInternal(mesh_t*, char const*, int*, int*) 
  9.4          310          421           1      200003     421127 MeshGmshReader(char const*) 
  7.3          277          326           1           1     326809 MeshReorderingMETIS(mesh_t*) 
  1.3           57           57      100001           0          1 GmshToVTKType(int) [THROTTLED]
  1.2           55           55      100001           0          1 getGmshElemNNodes(int) [THROTTLED]
  1.2           54           54      100001           0          1 getGmshElemTypeDim(int) [THROTTLED]
  1.1           49           49           1           0      49037 MeshToGraph(mesh_t*, int**, int**) 
  0.0        0.859        0.859           1           0        859 MeshPartitionerInternal(mesh_t*, int) 
  0.0        0.097        0.301           1           1        301 _GLOBAL__sub_I__Z17getGmshElemNNodesi 
  0.0        0.211        0.211           1           0        211 mesh_t::~mesh_t() 
  0.0        0.209        0.209           4           0         52 __static_initialization_and_destruction_0(int, int) 
  0.0        0.078         0.08           1           1         80 _GLOBAL__sub_I__Z23MeshPartitionerInternalP6mesh_ti 
  0.0        0.074        0.075           1           1         75 _GLOBAL__sub_I_main 
  0.0        0.071        0.073           1           1         73 _GLOBAL__sub_I__Z13adj_bandwidthiiPiS_ 
  0.0        0.007        0.007           1           0          7 mesh_t::mesh_t() 
  0.0        0.002        0.002           1           0          2 MeshPartitionDestroy(mesh_partition_t*) 
